code,signal_date,entry_date,ret10,atr14_pct,dd60_pct,ma25_slope5_pct,avg_turnover20,vol_ratio20,gc_gap_pct,gc_runner_score
4612,2022-03-18,2022-03-22,5.706267539756782,4.932765277592864,-17.840735068912707,2.4271642907609747,5546912580.0,3.106600220116306,0.385473726922303,1
4631,2019-07-17,2019-07-18,1.392272885485557,1.6582072635884293,-15.35766423357664,0.591013205893165,965163550.0,1.1698224852071006,0.001405599910042632,1
4668,2017-12-26,2017-12-27,-5.964653902798234,1.7355982274741506,-15.109717868338556,0.9547693144393632,132004305.0,0.6490274744807273,0.18555651991740696,1
4686,2018-01-10,2018-01-11,-4.4036697247706424,2.172362363011478,-15.593869731800769,0.4485706406838652,471094640.0,0.9155607751027598,0.36786910448580734,2
4763,2024-09-25,2024-09-26,-1.0060362173038184,2.0408163265306123,-18.39080459770115,0.621083873804551,68069945.0,0.8220064724919094,0.46703446768996404,1
4826,2019-10-16,2019-10-17,14.758380496299539,2.2255834053586865,-16.941852117731514,0.283468401099074,33695024.4,0.7212547857231073,0.05202462498916649,2
4911,2022-06-29,2022-06-30,2.04231830726771,2.340103772846974,-15.02791563275434,0.7800640283768923,10918439495.0,1.7263081651430026,0.27665095746585155,1
4911,2025-06-05,2025-06-06,1.4435146443514624,3.3290105809189776,-18.014208389715836,0.33973248201040196,7300988460.0,1.0994704943350682,0.24330279287785306,1
4914,2019-06-24,2019-06-25,-2.4350649350649345,2.134646962233169,-15.650969529085867,0.43480011272596375,61652510.0,0.22549019607843138,0.16568458465278102,3
4922,2019-07-18,2019-07-19,-7.255864702673209,1.9178082191780823,-16.437728937728934,0.45873602636616884,4122510650.0,1.640069175368315,0.08423479340309292,0
4980,2018-05-21,2018-05-22,-4.220696669209256,3.702954269526508,-17.435679353604083,0.32009037845979194,791395267.5,0.6287194764671415,0.28778778778777436,2
5110,2022-01-12,2022-01-13,-1.1627906976744207,1.871310507674144,-18.955123911587414,0.7560160653413694,1423827165.0,0.672191260264964,0.3249254681271685,0
5202,2020-08-12,2020-08-13,-0.7109004739336511,4.507628294036061,-15.746421267893663,1.0627104377104235,475552815.0,0.8287965934986663,1.0411244143675225,2
5393,2026-09-01,2026-09-02,-3.031194820482641,3.1789867109634553,-15.333497415702679,0.30981551894100345,2040523900.0,0.6858117521890753,0.10412279470259911,2
5408,2019-02-22,2019-02-25,-5.2208835341365445,3.1394009216589867,-17.05685618729097,0.8362712142329976,38477525.0,0.7711693548387096,0.21139930075615432,1
5411,2025-06-16,2025-06-17,-1.8026004728132428,1.4986491050320838,-15.7580283793876,0.46007151370679455,3848312120.0,1.1324840541415484,0.16491469520443225,1
5445,2019-02-22,2019-02-25,-1.0160020320040597,2.819264069264069,-15.798426536253462,0.31439777975768024,19679794.5,0.4953745150701283,0.8636707025746926,2
5451,2022-06-30,2022-07-01,2.759234534935473,1.884039583861966,-16.685164631890505,0.32343953824982563,129086910.0,1.0269287384189107,0.33486516333585126,1
5461,2024-09-20,2024-09-24,6.655909640984259,2.6580086580086584,-18.852459016393443,0.5348046101511184,68438000.0,1.0806145347833593,0.20537683281989239,1
5480,2024-09-19,2024-09-20,0.6472491909385036,2.60596546310832,-16.51376146788991,1.2261204996326436,392058800.0,1.2228306893242251,0.5307807467223036,0
5541,2017-07-31,2017-08-01,-8.389261744966447,1.6409266409266408,-18.681318681318682,1.0102407971215088,568505150.0,1.189186400454006,0.35621317988765444,0
5541,2019-06-26,2019-06-27,1.3458950201884257,2.516488442082346,-19.777058612010066,0.3491271820448949,411475875.0,1.0023463657694234,0.1306972976953258,1
5702,2022-04-20,2022-04-21,-18.256997455470735,3.063814358230602,-16.833773087071236,1.1125319693094715,657693750.0,0.7369223508912042,0.16441128114328407,0
5706,2019-07-19,2019-07-22,-9.668721109399081,2.984743411927878,-17.73162939297125,0.6796981948998804,2072281160.0,0.9977657392954428,0.38893895555660585,0
5707,2022-02-04,2022-02-07,10.212588578574412,4.3291847793723575,-19.57760643647335,1.1269619692894306,1165179455.0,0.6648845586186254,0.6666217763113602,1
5711,2021-07-28,2021-07-29,4.680664916885391,2.112235970503687,-16.38624725676664,0.3676932183021675,1176759645.0,0.7607457472660997,0.13760320240179258,1
5711,2025-05-27,2025-05-28,-1.784140969162995,1.8999146460974299,-15.501121914734483,0.4386990057354323,1777195995.0,0.5831424760274835,0.052807761845929946,2
5714,2026-05-07,2026-05-08,4.365278474661305,3.1717825229198096,-16.754015215553675,0.8702275299929951,3536037905.0,1.4403774782356755,0.2181830317846467,0
5852,2020-05-27,2020-05-28,3.4031413612565453,3.8082607048124295,-18.043478260869563,0.7266629401900371,23921200.0,0.8943027918589695,0.11098779134295356,2
5901,2018-03-27,2018-03-28,5.462724935732655,2.316480748470673,-16.15628299894404,0.26933236649919756,1512387320.0,1.166866257293551,0.31509892039878196,1
5902,2019-01-08,2019-01-09,-3.302961275626426,3.7762634866553095,-18.885306310456006,1.098901098901095,41366060.0,0.8485099337748344,1.1216466234967637,2
5911,2020-04-30,2020-05-01,4.875463698993121,3.132766021537767,-16.90757774857643,1.6154844290657389,199663385.0,1.580968436826824,0.20856832740971942,0
5943,2020-04-30,2020-05-01,-2.622673434856171,4.217800548075777,-15.563380281690142,1.8832060262592876,71050655.0,0.9212959241096551,1.5236318407960248,3
5957,2024-09-25,2024-09-26,-3.716216216216217,2.3363348746653685,-16.500711237553347,0.6232091690544506,37712855.0,1.9733214099411283,1.1959849078094997,1
5975,2026-05-14,2026-05-15,4.261036468330137,2.390271176963936,-15.257048092868985,0.3906958342262845,224918715.0,1.9234097793163132,0.5451738973365261,2
5988,2019-02-14,2019-02-15,-0.3824904377390581,2.788856659415035,-16.08093716719915,0.790865855613565,89907095.0,1.395582329317269,0.6008659538746963,0
6027,2023-11-29,2023-11-30,-5.010893246187365,4.951560818083961,-18.365553602811946,1.5069124423963132,1748318650.0,0.7125157306140454,0.7400009079765901,1
6036,2023-02-20,2023-02-21,29.103448275862064,3.0655179322781008,-16.216216216216218,0.5707225229465873,680682975.0,1.496383363471971,0.3042181009770051,0
6070,2022-05-10,2022-05-11,29.193433261955736,3.8615446178471386,-15.050565139797744,0.89181205061033,145580145.0,0.7008300611362394,0.1878349262471657,2
6135,2024-09-25,2024-09-26,5.423728813559325,2.6354679802955667,-19.444444444444443,0.5408097915035937,613298750.0,1.0960658737419946,0.29018331092078853,0
